date,time,longitude,latitude,aqi,co,no,no2,so2,o3,pm2_5,pm10,nh3
2020-11-25,08:00:00,98.9853,18.7883,4,4005.43,74.21,13.54,12.99,0.58,46.81,56.77,11.27
2020-11-25,09:00:00,98.9853,18.7883,5,6462.1,114.44,30.16,13.59,2.84,61.17,72.29,8.36
2020-11-25,10:00:00,98.9853,18.7883,5,7583.62,84.04,93.22,12.64,20.21,74.19,84.86,8.23
2020-11-25,11:00:00,98.9853,18.7883,4,1428.6,2.52,23.99,10.97,128.75,36.0,39.85,7.92
2020-11-25,12:00:00,98.9853,18.7883,4,1068.12,0.92,11.82,9.3,164.51,36.59,39.49,6.4
2020-11-25,13:00:00,98.9853,18.7883,4,1028.06,0.69,9.51,8.58,178.81,39.19,41.86,5.83
2020-11-25,14:00:00,98.9853,18.7883,4,1241.68,0.88,13.88,10.97,197.41,46.63,49.64,7.54
2020-11-25,15:00:00,98.9853,18.7883,5,1682.28,1.05,21.76,14.66,217.44,57.8,61.56,10.13
2020-11-25,16:00:00,98.9853,18.7883,5,2029.42,1.05,29.82,15.97,203.13,60.75,64.98,11.15
2020-11-25,17:00:00,98.9853,18.7883,5,3364.56,1.65,62.38,15.26,123.02,59.77,64.35,11.27
2020-11-25,18:00:00,98.9853,18.7883,5,5447.39,3.49,105.56,15.26,24.32,61.51,66.78,12.29
2020-11-25,19:00:00,98.9853,18.7883,5,6355.29,26.38,90.48,14.31,0.01,63.07,69.61,11.4
2020-11-25,20:00:00,98.9853,18.7883,5,6248.47,44.26,62.38,12.52,0.0,62.51,70.48,9.5
2020-11-25,21:00:00,98.9853,18.7883,5,5554.2,50.07,43.87,11.44,0.0,62.25,71.61,9.5
2020-11-25,22:00:00,98.9853,18.7883,5,4753.11,48.28,34.62,11.21,0.0,62.88,73.62,10.39
2020-11-25,23:00:00,98.9853,18.7883,5,4272.46,46.94,32.9,13.35,0.0,64.09,75.86,14.31
2020-11-26,00:00:00,98.9853,18.7883,5,3952.03,43.81,33.59,15.26,0.0,61.23,73.1,18.49
2020-11-26,01:00:00,98.9853,18.7883,5,3337.86,36.66,30.85,14.54,0.0,55.35,66.39,20.27
2020-11-26,02:00:00,98.9853,18.7883,4,2563.48,27.05,26.05,13.11,0.0,49.28,59.61,21.03
2020-11-26,03:00:00,98.9853,18.7883,4,1922.61,19.45,21.08,11.68,0.01,43.5,53.12,20.52
2020-11-26,04:00:00,98.9853,18.7883,4,1428.6,14.98,16.11,10.37,0.01,39.18,48.08,19.51
2020-11-26,05:00:00,98.9853,18.7883,4,1134.87,13.3,11.48,9.06,0.01,35.52,43.59,17.48
2020-11-26,06:00:00,98.9853,18.7883,4,1148.22,15.42,10.37,10.13,0.02,34.54,42.24,18.75
2020-11-26,07:00:00,98.9853,18.7883,4,1949.31,30.4,13.02,14.66,0.0,39.05,47.56,22.29
2020-11-26,08:00:00,98.9853,18.7883,5,4219.06,70.63,19.71,23.84,0.62,50.51,60.53,28.63
2020-11-26,09:00:00,98.9853,18.7883,5,6835.94,108.18,44.55,33.85,4.25,65.99,77.17,35.47
2020-11-26,10:00:00,98.9853,18.7883,5,8117.68,66.16,131.61,36.72,41.13,89.72,100.9,35.47
2020-11-26,11:00:00,98.9853,18.7883,4,1708.98,2.71,27.08,15.74,151.63,45.31,50.15,12.16
2020-11-26,12:00:00,98.9853,18.7883,4,1335.14,0.95,13.37,13.35,191.69,48.14,52.0,10.13
2020-11-26,13:00:00,98.9853,18.7883,5,1281.74,0.69,11.14,11.92,205.99,52.06,55.61,8.99
2020-11-26,14:00:00,98.9853,18.7883,5,1562.12,0.95,16.79,13.35,220.3,59.42,63.23,9.88
2020-11-26,15:00:00,98.9853,18.7883,5,2136.23,1.23,26.05,15.97,240.33,71.81,76.32,11.91
2020-11-26,16:00:00,98.9853,18.7883,5,2590.18,1.33,35.3,15.97,226.02,73.6,78.36,12.03
2020-11-26,17:00:00,98.9853,18.7883,5,4005.43,1.84,70.6,15.26,133.04,67.92,72.81,12.16
2020-11-26,18:00:00,98.9853,18.7883,5,6248.47,4.08,119.27,16.93,24.32,68.57,74.04,14.31
2020-11-26,19:00:00,98.9853,18.7883,5,7690.43,31.74,111.04,18.12,0.0,73.54,80.46,15.45
2020-11-26,20:00:00,98.9853,18.7883,5,7690.43,53.64,85.0,17.17,0.0,74.93,83.48,14.95
2020-11-26,21:00:00,98.9853,18.7883,5,6835.94,59.9,63.75,16.69,0.0,72.43,82.36,16.09
2020-11-26,22:00:00,98.9853,18.7883,5,5767.82,55.43,51.41,16.93,0.0,69.62,80.71,18.24
2020-11-26,23:00:00,98.9853,18.7883,5,4966.74,50.96,45.24,17.41,0.0,68.09,79.87,20.01
2020-11-27,00:00:00,98.9853,18.7883,5,4219.06,46.05,38.04,15.02,0.0,62.97,74.39,18.49
2020-11-27,01:00:00,98.9853,18.7883,5,3284.45,36.21,28.79,11.21,0.0,54.9,65.37,15.33
2020-11-27,02:00:00,98.9853,18.7883,4,2349.85,25.03,20.91,7.87,0.0,47.85,57.38,12.03
2020-11-27,03:00:00,98.9853,18.7883,4,1708.98,17.43,15.42,5.42,0.02,43.0,51.92,8.04
2020-11-27,04:00:00,98.9853,18.7883,4,1335.14,13.75,11.48,4.05,0.03,40.01,48.34,5.38
2020-11-27,05:00:00,98.9853,18.7883,4,1108.17,12.63,8.48,3.46,0.03,37.45,45.17,4.02
2020-11-27,06:00:00,98.9853,18.7883,4,1121.52,14.53,7.63,3.73,0.02,36.12,43.31,3.8
2020-11-27,07:00:00,98.9853,18.7883,4,1842.5,28.39,9.43,5.66,0.0,39.2,46.55,4.31
2020-11-27,08:00:00,98.9853,18.7883,4,3231.05,52.75,13.54,8.35,0.52,44.01,51.36,4.88
2020-11-27,09:00:00,98.9853,18.7883,4,4539.49,68.84,28.1,10.49,4.34,49.15,56.43,6.4
2020-11-27,10:00:00,98.9853,18.7883,5,4806.52,36.21,73.34,11.56,44.35,55.5,62.68,8.23
2020-11-27,11:00:00,98.9853,18.7883,4,1548.77,2.82,23.31,10.37,138.76,38.5,42.26,7.73
2020-11-27,12:00:00,98.9853,18.7883,4,1255.04,1.15,13.54,9.66,178.81,40.99,44.07,7.35
2020-11-27,13:00:00,98.9853,18.7883,4,1281.74,0.99,13.54,9.54,191.69,41.91,44.84,7.28
2020-11-27,14:00:00,98.9853,18.7883,5,1922.61,1.51,26.73,12.28,214.58,51.34,54.75,9.63
2020-11-27,15:00:00,98.9853,18.7883,5,3124.24,1.66,46.61,16.45,243.19,67.5,71.84,13.43
2020-11-27,16:00:00,98.9853,18.7883,5,4165.65,1.3,66.49,20.03,231.74,75.56,80.48,16.72
2020-11-27,17:00:00,98.9853,18.7883,5,5287.17,1.13,94.59,21.7,151.63,73.38,78.53,17.73
2020-11-27,18:00:00,98.9853,18.7883,5,6675.72,0.76,131.61,20.98,41.13,70.57,76.35,17.48
