,datetime,true_aqi,predicted_aqi,city
0,2023-11-29 09:00:00,2,2,Bangkok
1,2023-11-29 09:00:00,5,5,Chiang Mai
2,2023-11-29 10:00:00,5,5,Bangkok
3,2023-11-29 10:00:00,3,3,Chiang Mai
4,2023-11-29 11:00:00,4,4,Bangkok
5,2023-11-29 11:00:00,3,3,Chiang Mai
6,2023-11-29 12:00:00,4,5,Bangkok
7,2023-11-29 12:00:00,4,4,Chiang Mai
8,2023-11-29 13:00:00,1,1,Bangkok
9,2023-11-29 13:00:00,5,5,Chiang Mai
11,2023-11-29 14:00:00,2,2,Chiang Mai
10,2023-11-29 14:00:00,5,5,Bangkok
12,2023-11-29 15:00:00,5,5,Bangkok
13,2023-11-29 15:00:00,4,3,Chiang Mai
14,2023-11-29 16:00:00,5,5,Chiang Mai
15,2023-11-29 16:00:00,5,5,Bangkok
16,2023-11-29 17:00:00,3,3,Bangkok
17,2023-11-29 17:00:00,3,3,Chiang Mai
18,2023-11-29 18:00:00,3,3,Chiang Mai
19,2023-11-29 18:00:00,5,5,Bangkok
20,2023-11-29 19:00:00,2,2,Bangkok
21,2023-11-29 19:00:00,3,4,Chiang Mai
22,2023-11-29 20:00:00,5,5,Bangkok
23,2023-11-29 20:00:00,2,2,Chiang Mai
25,2023-11-29 21:00:00,2,2,Bangkok
24,2023-11-29 21:00:00,5,5,Chiang Mai
26,2023-11-29 22:00:00,5,5,Bangkok
27,2023-11-29 22:00:00,4,4,Chiang Mai
28,2023-11-29 23:00:00,5,4,Chiang Mai
29,2023-11-29 23:00:00,4,5,Bangkok
30,2023-11-30 00:00:00,5,5,Bangkok
31,2023-11-30 00:00:00,5,5,Chiang Mai
32,2023-11-30 01:00:00,3,3,Chiang Mai
33,2023-11-30 01:00:00,2,2,Bangkok
34,2023-11-30 02:00:00,2,2,Chiang Mai
35,2023-11-30 02:00:00,5,4,Bangkok
37,2023-11-30 03:00:00,2,2,Chiang Mai
36,2023-11-30 03:00:00,5,5,Bangkok
38,2023-11-30 04:00:00,3,4,Bangkok
39,2023-11-30 04:00:00,5,5,Chiang Mai
