,datetime,true_aqi,predicted_aqi
0,2023-11-29 10:00:00,2,2
1,2023-11-29 11:00:00,4,4
2,2023-11-29 12:00:00,3,3
3,2023-11-29 13:00:00,5,5
4,2023-11-29 14:00:00,4,4
5,2023-11-29 15:00:00,4,4
6,2023-11-29 16:00:00,2,4
7,2023-11-29 17:00:00,5,5
8,2023-11-29 18:00:00,5,5
9,2023-11-29 19:00:00,4,4
10,2023-11-29 20:00:00,5,5
11,2023-11-29 21:00:00,2,2
12,2023-11-29 22:00:00,4,4
13,2023-11-29 23:00:00,4,4
14,2023-11-30 00:00:00,4,4
15,2023-11-30 01:00:00,3,3
16,2023-11-30 02:00:00,3,3
17,2023-11-30 03:00:00,4,4
18,2023-11-30 04:00:00,5,5
19,2023-11-30 05:00:00,5,5
20,2023-11-30 06:00:00,2,2
21,2023-11-30 07:00:00,5,5
22,2023-11-30 08:00:00,3,4
23,2023-11-30 09:00:00,3,3
24,2023-11-30 10:00:00,5,5
25,2023-11-30 11:00:00,3,3
26,2023-11-30 12:00:00,5,5
27,2023-11-30 13:00:00,2,2
28,2023-11-30 14:00:00,5,5
29,2023-11-30 15:00:00,5,5
30,2023-11-30 16:00:00,4,4
31,2023-11-30 17:00:00,4,4
32,2023-11-30 18:00:00,4,3
33,2023-11-30 19:00:00,4,5
34,2023-11-30 20:00:00,3,2
35,2023-11-30 21:00:00,3,3
36,2023-11-30 22:00:00,2,2
37,2023-11-30 23:00:00,2,2
38,2023-12-01 00:00:00,2,2
39,2023-12-01 01:00:00,2,4
40,2023-12-01 02:00:00,5,5
41,2023-12-01 03:00:00,4,4
42,2023-12-01 04:00:00,4,3
43,2023-12-01 05:00:00,5,5
44,2023-12-01 06:00:00,4,4
45,2023-12-01 07:00:00,2,2
46,2023-12-01 08:00:00,4,4
47,2023-12-01 09:00:00,5,5
48,2023-12-01 10:00:00,5,5
49,2023-12-01 11:00:00,5,5
50,2023-12-01 12:00:00,5,5
51,2023-12-01 13:00:00,5,5
52,2023-12-01 14:00:00,2,2
53,2023-12-01 15:00:00,2,2
54,2023-12-01 16:00:00,4,4
55,2023-12-01 17:00:00,4,4
56,2023-12-01 18:00:00,5,5
57,2023-12-01 19:00:00,4,4
58,2023-12-01 20:00:00,5,5
59,2023-12-01 21:00:00,3,3
60,2023-12-01 22:00:00,4,4
61,2023-12-01 23:00:00,2,2
62,2023-12-02 00:00:00,5,5
63,2023-12-02 01:00:00,4,4
64,2023-12-02 02:00:00,5,5
65,2023-12-02 03:00:00,5,5
66,2023-12-02 04:00:00,5,5
67,2023-12-02 05:00:00,4,3
68,2023-12-02 06:00:00,2,2
69,2023-12-02 07:00:00,3,4
70,2023-12-02 08:00:00,4,4
71,2023-12-02 09:00:00,5,5
72,2023-12-02 10:00:00,5,5
73,2023-12-02 11:00:00,4,4
74,2023-12-02 12:00:00,3,3
75,2023-12-02 13:00:00,3,4
76,2023-12-02 14:00:00,5,5
77,2023-12-02 15:00:00,4,4
78,2023-12-02 16:00:00,3,2
79,2023-12-02 17:00:00,5,5
80,2023-12-02 18:00:00,4,4
81,2023-12-02 19:00:00,5,5
82,2023-12-02 20:00:00,5,5
83,2023-12-02 21:00:00,5,4
